entry_datetime,exit_datetime,direction,entry_price,exit_price,stop_loss,take_profit,lot_size,pnl_usd,pnl_points,r_multiple,exit_reason,duration_minutes,mfe_usd,mae_usd
2021-09-08 10:20:00+00:00,2021-09-08 11:02:00+00:00,SELL,1797.485,1799.087,1799.087,1794.2809999999997,0.5,-95.1,-1.902,-1.0,SL,215.0,38.05,-78.5
2021-09-09 09:35:00+00:00,2021-09-09 11:23:00+00:00,BUY,1793.938,1797.7600000000002,1792.027,1797.7600000000002,0.42,147.92,3.522,2.0,TP,545.0,165.73,0.0
2021-09-10 10:00:00+00:00,2021-09-10 10:05:00+00:00,SELL,1799.838,1795.026,1802.244,1795.026,0.33,148.9,4.512,2.0,TP,30.0,175.23,0.0
2021-09-13 09:35:00+00:00,2021-09-13 10:08:00+00:00,SELL,1789.098,1790.418,1790.418,1786.458,0.61,-98.82,-1.62,-1.0,SL,170.0,75.03,-63.38
2021-09-14 09:37:00+00:00,2021-09-14 11:29:00+00:00,SELL,1788.034,1787.734,1790.668,1782.7660000000005,0.3,0.0,0.0,0.114,TIME,565.0,82.5,-17.52
2021-09-15 09:20:00+00:00,2021-09-15 09:45:00+00:00,SELL,1801.385,1802.628,1802.628,1798.8990000000001,0.64,-98.75,-1.543,-1.0,SL,130.0,41.02,-65.47
2021-09-16 09:35:00+00:00,2021-09-16 09:40:00+00:00,SELL,1785.258,1782.86,1786.457,1782.86,0.67,140.57,2.098,2.0,TP,30.0,207.7,0.0
2021-09-17 08:30:00+00:00,2021-09-17 08:38:00+00:00,BUY,1762.324,1764.8160000000003,1761.078,1764.8160000000003,0.64,140.29,2.192,2.0,TP,45.0,169.86,-25.6
2021-09-20 08:45:00+00:00,2021-09-20 09:01:00+00:00,BUY,1754.734,1758.174,1753.014,1758.174,0.47,147.58,3.14,2.0,TP,85.0,165.11,0.0
2021-09-21 09:35:00+00:00,2021-09-21 09:48:00+00:00,BUY,1761.728,1766.788,1759.198,1766.788,0.32,152.32,4.76,2.0,TP,70.0,165.12,0.0
2021-09-22 10:45:00+00:00,2021-09-22 11:29:00+00:00,SELL,1774.704,1773.348,1777.898,1768.316,0.25,26.4,1.056,0.425,TIME,225.0,57.9,-15.58
2021-09-23 09:20:00+00:00,2021-09-23 09:20:00+00:00,BUY,1767.307,1770.907,1765.507,1770.907,0.44,145.2,3.3,2.0,TP,5.0,222.2,0.0
2021-09-24 08:15:00+00:00,2021-09-24 11:16:00+00:00,BUY,1755.837,1753.248,1753.248,1761.0149999999999,0.31,-89.56,-2.889,-1.0,SL,910.0,53.32,-101.34
2021-09-27 09:35:00+00:00,2021-09-27 09:35:00+00:00,SELL,1753.448,1750.2480000000003,1755.048,1750.2480000000003,0.5,145.0,2.9,2.0,TP,5.0,183.7,0.0
2021-09-28 09:35:00+00:00,2021-09-28 11:07:00+00:00,SELL,1740.388,1732.116,1744.524,1732.116,0.19,151.47,7.972,2.0,TP,465.0,165.11,-3.04
2021-09-29 08:24:00+00:00,2021-09-29 11:29:00+00:00,BUY,1741.058,1741.255,1738.478,1746.2179999999998,0.31,-3.19,-0.103,0.076,TIME,930.0,135.16,-44.02
2021-09-30 09:10:00+00:00,2021-09-30 10:31:00+00:00,SELL,1731.398,1726.2579999999996,1733.968,1726.2579999999996,0.31,150.04,4.84,2.0,TP,410.0,171.74,-10.23
2021-10-04 08:30:00+00:00,2021-10-04 11:03:00+00:00,SELL,1753.055,1748.4490000000003,1755.358,1748.4490000000003,0.35,150.71,4.306,2.0,TP,770.0,176.58,0.0
2021-10-05 10:35:00+00:00,2021-10-05 10:35:00+00:00,SELL,1758.708,1756.0280000000002,1760.048,1756.0280000000002,0.6,142.8,2.38,2.0,TP,5.0,180.18,0.0
2021-10-06 10:30:00+00:00,2021-10-06 11:23:00+00:00,BUY,1749.128,1755.588,1745.898,1755.588,0.25,154.0,6.16,2.0,TP,270.0,176.5,-16.33
2021-10-08 09:05:00+00:00,2021-10-08 09:40:00+00:00,BUY,1756.328,1758.694,1755.145,1758.694,0.68,140.49,2.066,2.0,TP,180.0,167.28,-3.4
2021-10-11 11:05:00+00:00,2021-10-11 11:29:00+00:00,SELL,1755.888,1754.398,1757.083,1753.4979999999996,0.67,79.73,1.19,1.247,TIME,125.0,166.16,0.0
2021-10-12 09:30:00+00:00,2021-10-12 10:39:00+00:00,BUY,1758.168,1761.3879999999997,1756.558,1761.3879999999997,0.5,146.0,2.92,2.0,TP,350.0,169.5,0.0
2021-10-13 10:10:00+00:00,2021-10-13 11:29:00+00:00,BUY,1767.808,1771.768,1764.905,1773.614,0.28,102.48,3.66,1.364,TIME,400.0,155.4,0.0
