entry_datetime,exit_datetime,direction,lot_size,entry_price,exit_price,r_multiple,pnl_usd,pnl_points,exit_reason,duration_min,mfe_usd,mae_usd
2021-09-08 13:46:00+00:00,2021-09-08 16:29:00+00:00,SELL,0.14,1791.122,1791.958,-0.143,-15.9,-1.136,TIME,820.0,124.15,-54.63
2021-09-13 14:00:00+00:00,2021-09-13 14:11:00+00:00,BUY,0.32,1792.538,1797.466,2.0,148.1,4.628,TP,60.0,183.23,0.0
2021-09-14 14:40:00+00:00,2021-09-14 16:29:00+00:00,BUY,0.08,1800.454,1803.648,0.329,23.15,2.894,TIME,550.0,64.83,0.0
2021-09-16 13:50:00+00:00,2021-09-16 15:08:00+00:00,SELL,0.13,1751.528,1757.624,-1.0,-83.15,-6.396,SL,395.0,82.03,-76.43
2021-09-17 13:50:00+00:00,2021-09-17 14:01:00+00:00,SELL,0.15,1748.757,1754.157,-1.0,-85.5,-5.7,SL,60.0,4.35,-78.91
2021-09-20 14:25:00+00:00,2021-09-20 14:41:00+00:00,BUY,0.2,1758.427,1766.4929999999997,2.0,155.32,7.766,TP,85.0,162.0,0.0
2021-09-24 14:05:00+00:00,2021-09-24 15:03:00+00:00,BUY,0.2,1744.838,1752.986,2.0,156.96,7.848,TP,295.0,179.78,-28.88
2021-09-27 13:50:00+00:00,2021-09-27 14:50:00+00:00,BUY,0.25,1753.014,1749.828,-1.0,-87.15,-3.486,SL,305.0,120.35,-91.15
2021-09-29 14:15:00+00:00,2021-09-29 14:20:00+00:00,SELL,0.17,1735.665,1726.359,2.0,153.1,9.006,TP,30.0,163.37,0.0
2021-09-30 14:10:00+00:00,2021-09-30 14:27:00+00:00,BUY,0.17,1742.728,1751.9480000000003,2.0,151.64,8.92,TP,90.0,166.57,0.0
2021-10-01 14:35:00+00:00,2021-10-01 16:29:00+00:00,BUY,0.18,1759.028,1762.278,0.716,53.1,2.95,TIME,575.0,92.34,-59.99
2021-10-04 14:00:00+00:00,2021-10-04 14:23:00+00:00,BUY,0.21,1752.208,1759.9140000000002,2.0,155.53,7.406,TP,120.0,185.79,-3.89
2021-10-05 13:55:00+00:00,2021-10-05 15:25:00+00:00,SELL,0.19,1752.178,1756.288,-1.0,-83.79,-4.41,SL,455.0,70.11,-73.05
2021-10-08 14:15:00+00:00,2021-10-08 14:37:00+00:00,SELL,0.1,1772.238,1756.9580000000003,2.0,149.8,14.98,TP,115.0,161.0,0.0
2021-10-12 13:50:00+00:00,2021-10-12 16:29:00+00:00,BUY,0.19,1761.278,1760.768,-0.124,-15.39,-0.81,TIME,800.0,151.24,-26.98
2021-10-14 14:08:00+00:00,2021-10-14 16:29:00+00:00,BUY,0.15,1799.048,1796.798,-0.433,-38.25,-2.55,TIME,710.0,3.54,-67.35
2021-10-15 13:45:00+00:00,2021-10-15 16:29:00+00:00,BUY,0.16,1770.904,1768.118,-0.546,-49.38,-3.086,TIME,825.0,86.14,-74.5
2021-10-19 14:20:00+00:00,2021-10-19 16:29:00+00:00,SELL,0.17,1776.364,1767.798,1.873,140.52,8.266,TIME,650.0,158.54,0.0
2021-10-20 14:30:00+00:00,2021-10-20 16:29:00+00:00,BUY,0.12,1781.578,1784.928,0.49,36.6,3.05,TIME,600.0,45.67,-4.13
2021-10-22 15:16:00+00:00,2021-10-22 15:31:00+00:00,SELL,0.25,1804.068,1797.548,2.0,155.5,6.22,TP,80.0,172.15,-41.25
2021-10-25 13:55:00+00:00,2021-10-25 16:29:00+00:00,BUY,0.21,1806.454,1807.128,0.174,7.85,0.374,TIME,775.0,73.92,-29.4
2021-10-26 14:30:00+00:00,2021-10-26 16:29:00+00:00,SELL,0.12,1789.198,1791.664,-0.367,-33.19,-2.766,TIME,600.0,50.16,-36.96
2021-10-27 14:05:00+00:00,2021-10-27 16:29:00+00:00,SELL,0.14,1792.478,1795.478,-0.532,-46.2,-3.3,TIME,725.0,109.34,-56.0
2021-10-29 14:10:00+00:00,2021-10-29 14:26:00+00:00,BUY,0.17,1779.498,1774.924,-1.0,-82.86,-4.874,SL,85.0,36.31,-85.68
2021-11-02 14:10:00+00:00,2021-11-02 15:21:00+00:00,SELL,0.18,1788.908,1793.358,-1.0,-85.5,-4.75,SL,360.0,37.08,-76.32
2021-11-03 14:25:00+00:00,2021-11-03 16:29:00+00:00,SELL,0.18,1766.514,1762.788,0.833,61.67,3.426,TIME,625.0,141.66,0.0
2021-11-05 15:50:00+00:00,2021-11-05 16:18:00+00:00,BUY,0.16,1802.004,1811.984,2.0,154.88,9.68,TP,145.0,160.16,0.0
2021-11-09 13:45:00+00:00,2021-11-09 15:02:00+00:00,BUY,0.15,1829.848,1824.418,-1.0,-85.95,-5.73,SL,390.0,6.6,-88.65
2021-11-10 14:05:00+00:00,2021-11-10 16:29:00+00:00,BUY,0.03,1851.668,1857.708,0.205,17.22,5.74,TIME,725.0,50.37,-1.6
2021-11-11 13:50:00+00:00,2021-11-11 14:17:00+00:00,BUY,0.26,1862.508,1859.434,-1.0,-87.72,-3.374,SL,140.0,86.22,-81.48
2021-11-12 14:35:00+00:00,2021-11-12 16:29:00+00:00,BUY,0.17,1858.088,1861.544,0.749,53.65,3.156,TIME,575.0,132.43,-45.63
2021-11-15 15:10:00+00:00,2021-11-15 16:29:00+00:00,SELL,0.15,1862.248,1864.324,-0.388,-35.64,-2.376,TIME,400.0,49.56,-37.05
2021-11-16 14:00:00+00:00,2021-11-16 14:08:00+00:00,SELL,0.25,1869.348,1862.9879999999998,2.0,151.5,6.06,TP,45.0,198.75,0.0
2021-11-17 15:15:00+00:00,2021-11-17 16:29:00+00:00,BUY,0.19,1864.128,1864.834,0.167,7.71,0.406,TIME,375.0,48.26,-75.7
2021-11-19 13:50:00+00:00,2021-11-19 14:05:00+00:00,SELL,0.23,1859.994,1863.532,-1.0,-88.27,-3.838,SL,80.0,52.81,-103.82
2021-11-22 14:05:00+00:00,2021-11-22 14:17:00+00:00,SELL,0.12,1834.858,1821.6979999999996,2.0,154.32,12.86,TP,65.0,228.96,0.0
2021-11-24 14:16:00+00:00,2021-11-24 16:29:00+00:00,SELL,0.14,1781.898,1787.668,-1.0,-84.98,-6.07,SL,670.0,34.16,-76.72
2021-11-25 15:05:00+00:00,2021-11-25 16:29:00+00:00,SELL,0.78,1789.898,1789.739,0.156,-11.0,-0.141,TIME,425.0,170.04,-8.58
2021-11-26 14:40:00+00:00,2021-11-26 16:29:00+00:00,SELL,0.12,1798.818,1795.968,0.423,30.6,2.55,TIME,550.0,43.0,-55.68
2021-11-29 14:35:00+00:00,2021-11-29 16:29:00+00:00,SELL,0.21,1788.268,1784.459,1.016,73.69,3.509,TIME,575.0,97.65,-32.7
2021-11-30 14:50:00+00:00,2021-11-30 15:12:00+00:00,BUY,0.15,1796.359,1806.8809999999999,2.0,153.33,10.222,TP,115.0,183.89,0.0
2021-12-01 14:40:00+00:00,2021-12-01 15:05:00+00:00,SELL,0.24,1787.058,1790.398,-1.0,-87.36,-3.64,SL,130.0,57.84,-121.73
2021-12-02 14:35:00+00:00,2021-12-02 14:55:00+00:00,SELL,0.19,1773.428,1765.1680000000003,2.0,151.24,7.96,TP,105.0,188.48,-6.46
2021-12-03 13:50:00+00:00,2021-12-03 16:29:00+00:00,SELL,0.09,1769.385,1776.745,-0.805,-68.94,-7.66,TIME,800.0,27.81,-76.8
2021-12-06 14:40:00+00:00,2021-12-06 16:29:00+00:00,SELL,0.3,1779.348,1780.1,-0.283,-31.56,-1.052,TIME,550.0,112.83,-63.9
2021-12-07 14:15:00+00:00,2021-12-07 16:29:00+00:00,BUY,0.12,1778.685,1785.705,1.077,80.64,6.72,TIME,675.0,84.24,-4.2
2021-12-08 14:50:00+00:00,2021-12-08 16:29:00+00:00,SELL,0.2,1781.508,1782.715,-0.295,-30.14,-1.507,TIME,500.0,29.06,-69.4
2021-12-09 14:25:00+00:00,2021-12-09 16:29:00+00:00,BUY,0.18,1778.105,1776.715,-0.314,-30.42,-1.69,TIME,625.0,79.09,-77.53
2021-12-10 14:00:00+00:00,2021-12-10 16:29:00+00:00,BUY,0.1,1782.465,1785.365,0.353,26.0,2.6,TIME,750.0,69.33,-38.17
2021-12-13 14:55:00+00:00,2021-12-13 14:56:00+00:00,BUY,0.44,1784.798,1788.4040000000002,2.0,145.46,3.306,TP,10.0,159.72,0.0
2021-12-14 13:47:00+00:00,2021-12-14 16:29:00+00:00,SELL,0.11,1773.608,1773.085,0.069,2.45,0.223,TIME,815.0,79.75,-49.39
2021-12-15 13:45:00+00:00,2021-12-15 16:29:00+00:00,SELL,0.2,1769.565,1766.688,0.709,51.54,2.577,TIME,825.0,107.14,-56.66
2021-12-16 14:10:00+00:00,2021-12-16 15:02:00+00:00,BUY,0.23,1789.448,1796.3080000000002,2.0,150.88,6.56,TP,265.0,166.29,-59.34
2021-12-17 13:45:00+00:00,2021-12-17 16:29:00+00:00,SELL,0.16,1809.058,1803.815,1.03,79.09,4.943,TIME,825.0,110.08,-10.19
2021-12-20 15:00:00+00:00,2021-12-20 16:29:00+00:00,SELL,0.19,1794.068,1794.129,-0.014,-6.86,-0.361,TIME,450.0,45.09,-67.58
2021-12-21 13:45:00+00:00,2021-12-21 15:36:00+00:00,SELL,0.23,1795.888,1788.8079999999995,2.0,155.94,6.78,TP,560.0,184.92,-54.67
2021-12-22 14:00:00+00:00,2021-12-22 14:47:00+00:00,BUY,0.32,1793.198,1790.718,-1.0,-88.96,-2.78,SL,240.0,52.06,-83.2
2021-12-23 14:10:00+00:00,2021-12-23 14:40:00+00:00,SELL,0.24,1806.565,1799.819,2.0,154.7,6.446,TP,155.0,186.89,-13.27
2021-12-27 13:50:00+00:00,2021-12-27 16:29:00+00:00,BUY,0.15,1808.108,1812.015,0.744,54.11,3.607,TIME,800.0,79.2,-13.4
2021-12-28 13:52:00+00:00,2021-12-28 14:07:00+00:00,SELL,0.45,1818.328,1814.786,2.0,145.89,3.242,TP,80.0,319.23,-8.82
2021-12-29 14:35:00+00:00,2021-12-29 15:05:00+00:00,BUY,0.31,1793.588,1798.6739999999998,2.0,148.37,4.786,TP,155.0,175.99,-21.7
2021-12-30 14:35:00+00:00,2021-12-30 16:12:00+00:00,BUY,0.25,1802.848,1809.368,2.0,155.5,6.22,TP,490.0,175.75,0.0
2021-12-31 14:00:00+00:00,2021-12-31 14:46:00+00:00,SELL,0.3,1824.708,1827.404,-1.0,-89.88,-2.996,SL,235.0,63.9,-75.18
2022-01-03 13:50:00+00:00,2022-01-03 16:29:00+00:00,SELL,0.14,1807.278,1800.358,1.229,92.68,6.62,TIME,800.0,127.25,-50.4
2022-01-04 14:00:00+00:00,2022-01-04 14:53:00+00:00,BUY,0.3,1805.185,1810.5249999999996,2.0,151.2,5.04,TP,270.0,168.39,0.0
2022-01-05 13:45:00+00:00,2022-01-05 15:34:00+00:00,BUY,0.13,1827.258,1820.998,-1.0,-85.28,-6.56,SL,550.0,30.24,-90.53
2022-01-06 14:35:00+00:00,2022-01-06 16:29:00+00:00,BUY,0.15,1793.108,1790.978,-0.392,-36.45,-2.43,TIME,575.0,35.35,-78.75
2022-01-10 13:55:00+00:00,2022-01-10 14:41:00+00:00,SELL,0.31,1792.738,1795.288,-1.0,-88.35,-2.85,SL,235.0,77.59,-70.37
2022-01-11 14:05:00+00:00,2022-01-11 15:03:00+00:00,SELL,0.22,1804.498,1808.155,-1.0,-87.05,-3.957,SL,295.0,62.92,-77.68
2022-01-13 14:50:00+00:00,2022-01-13 16:29:00+00:00,SELL,0.16,1819.078,1816.538,0.512,35.84,2.24,TIME,500.0,109.6,-26.56
2022-01-14 15:05:00+00:00,2022-01-14 16:29:00+00:00,SELL,0.2,1823.554,1818.208,1.34,100.92,5.046,TIME,425.0,116.92,-15.88
2022-01-17 14:00:00+00:00,2022-01-17 14:31:00+00:00,BUY,0.63,1821.074,1819.798,-1.0,-99.29,-1.576,SL,160.0,20.16,-81.02
2022-01-19 14:35:00+00:00,2022-01-19 15:05:00+00:00,BUY,0.26,1825.002,1831.1299999999997,2.0,151.53,5.828,TP,155.0,239.62,-36.76
2022-01-20 16:25:00+00:00,2022-01-20 16:29:00+00:00,SELL,0.16,1841.844,1840.278,0.315,20.26,1.266,TIME,25.0,37.86,0.0
2022-01-21 15:09:00+00:00,2022-01-21 16:17:00+00:00,SELL,0.27,1837.468,1831.5360000000003,2.0,152.06,5.632,TP,345.0,168.75,-32.67
