strategy,entry_datetime,exit_datetime,direction,lot_size,entry_price,exit_price,pnl_usd,pnl_points,exit_reason,duration_min,mfe_usd,mae_usd
ASIAN_MR,2024-09-11 01:05:00+00:00,2024-09-11 01:20:00+00:00,LONG,1.5,2515.965,2517.6254,204.06,1.360399999999754,TP_Z_NEUTRAL,15.0,222.45,-25.5
ASIAN_MR,2024-09-12 01:30:00+00:00,2024-09-12 01:55:00+00:00,SHORT,1.53,2514.135,2512.3358,229.38,1.4992000000003827,TP_Z_NEUTRAL,25.0,242.81,-142.14
NY_ORB,2024-09-12 16:10:00+00:00,2024-09-12 16:25:00+00:00,BUY,0.09,2548.798,2545.438,-30.24,-3.36,TIME,15.0,0.0,-36.9
ASIAN_MR,2024-09-13 03:05:00+00:00,2024-09-13 03:30:00+00:00,SHORT,0.88,2565.605,2567.9364122371962,-231.56,-2.6314122371962183,SL_ATR,25.0,18.22,-380.16
ASIAN_MR,2024-09-16 02:25:00+00:00,2024-09-16 03:00:00+00:00,SHORT,1.37,2584.435,2585.90436722465,-242.4,-1.7693672246498864,SL_ATR,35.0,86.31,-202.76
NY_ORB,2024-09-16 14:00:00+00:00,2024-09-16 14:05:00+00:00,BUY,0.2,2586.225,2581.115,-102.2,-5.11,SL,5.0,0.0,-112.6
ASIAN_MR,2024-09-17 01:00:00+00:00,2024-09-17 01:10:00+00:00,LONG,0.79,2580.725,2579.479852875123,-122.07,-1.545147124876894,SL_ATR,10.0,15.01,-100.41
NY_ORB,2024-09-17 15:30:00+00:00,2024-09-17 15:40:00+00:00,SELL,0.1,2572.955,2563.809,91.46,9.146,TP,10.0,113.3,0.0
ASIAN_MR,2024-09-18 03:35:00+00:00,2024-09-18 04:05:00+00:00,SHORT,1.18,2575.595,2573.0377,266.36,2.2572999999999412,TP_Z_NEUTRAL,30.0,157.77,-82.6
NY_ORB,2024-09-18 13:50:00+00:00,2024-09-18 16:25:00+00:00,SELL,0.15,2571.748,2571.665,1.25,0.083,TIME,155.0,57.8,-44.35
ASIAN_MR,2024-09-20 01:20:00+00:00,2024-09-20 01:35:00+00:00,LONG,1.31,2585.495,2587.1175,173.25,1.3224999999999454,TP_Z_NEUTRAL,15.0,343.22,-65.5
ASIAN_MR,2024-09-23 02:55:00+00:00,2024-09-23 03:05:00+00:00,SHORT,0.9,2625.245,2627.555625368028,-234.96,-2.610625368028013,SL_ATR,10.0,45.9,-238.5
NY_ORB,2024-09-23 13:45:00+00:00,2024-09-23 15:05:00+00:00,BUY,0.19,2631.655,2626.215,-103.36,-5.44,SL,80.0,58.14,-113.81
ASIAN_MR,2024-09-24 03:45:00+00:00,2024-09-24 04:05:00+00:00,SHORT,1.01,2634.284,2629.8917,413.32,4.092299999999978,TP_Z_NEUTRAL,20.0,244.32,-105.14
NY_ORB,2024-09-25 14:50:00+00:00,2024-09-25 16:25:00+00:00,SELL,0.19,2660.048,2654.545,104.55,5.503,TIME,95.0,145.35,-12.11
ASIAN_MR,2024-09-26 02:50:00+00:00,2024-09-26 03:10:00+00:00,LONG,1.02,2657.765,2659.23085,118.92,1.1658500000000458,TP_Z_NEUTRAL,20.0,202.98,-64.26
ASIAN_MR,2024-09-27 01:40:00+00:00,2024-09-27 01:55:00+00:00,LONG,1.03,2667.695,2669.99035,205.52,1.9953499999998712,TP_Z_NEUTRAL,15.0,202.91,-64.89
NY_ORB,2024-09-27 14:45:00+00:00,2024-09-27 14:55:00+00:00,SELL,0.19,2664.604,2652.7639999999997,224.96,11.84,TP,10.0,291.45,0.0
ASIAN_MR,2024-09-30 01:25:00+00:00,2024-09-30 01:40:00+00:00,LONG,0.88,2658.985,2656.4520789534236,-249.3,-2.8329210465765753,SL_ATR,15.0,62.48,-306.24
NY_ORB,2024-09-30 14:00:00+00:00,2024-09-30 16:25:00+00:00,SELL,0.12,2631.755,2636.718,-59.56,-4.963,TIME,145.0,37.69,-74.03
ASIAN_MR,2024-10-01 01:40:00+00:00,2024-10-01 01:55:00+00:00,SHORT,1.57,2638.145,2639.494974029295,-259.05,-1.6499740292950265,SL_ATR,15.0,7.85,-240.21
ASIAN_MR,2024-10-02 03:45:00+00:00,2024-10-02 04:15:00+00:00,LONG,0.58,2656.625,2654.865908189179,-119.43,-2.0590918108207914,SL_ATR,30.0,0.0,-115.25
ASIAN_MR,2024-10-03 03:25:00+00:00,2024-10-03 03:30:00+00:00,LONG,0.64,2654.085,2656.17045,114.27,1.785450000000037,TP_Z_NEUTRAL,5.0,100.48,-5.12
NY_ORB,2024-10-03 14:00:00+00:00,2024-10-03 14:10:00+00:00,SELL,0.26,2647.314,2651.235,-101.95,-3.921,SL,10.0,96.36,-182.88
ASIAN_MR,2024-10-04 02:45:00+00:00,2024-10-04 03:40:00+00:00,SHORT,1.36,2663.005,2659.0937999999996,491.12,3.611200000000463,TP_Z_NEUTRAL,55.0,267.92,-63.78
ASIAN_MR,2024-10-07 01:50:00+00:00,2024-10-07 02:30:00+00:00,LONG,0.89,2646.605,2649.3165999999997,214.63,2.411599999999635,TP_Z_NEUTRAL,40.0,168.21,-86.06
NY_ORB,2024-10-08 14:20:00+00:00,2024-10-08 14:25:00+00:00,SELL,0.22,2636.545,2626.6590000000006,217.5,9.886,TP,5.0,231.59,0.0
ASIAN_MR,2024-10-10 02:35:00+00:00,2024-10-10 02:55:00+00:00,SHORT,1.07,2612.778,2614.890281357674,-258.11,-2.412281357674419,SL_ATR,20.0,49.54,-287.51
ASIAN_MR,2024-10-11 02:30:00+00:00,2024-10-11 02:45:00+00:00,SHORT,0.82,2640.285,2642.9493351274077,-243.08,-2.9643351274078666,SL_ATR,15.0,4.92,-246.82
ASIAN_MR,2024-10-14 03:00:00+00:00,2024-10-14 03:55:00+00:00,SHORT,0.4,2654.775,2648.62245,234.1,5.852550000000247,TP_Z_NEUTRAL,55.0,48.44,-100.4
ASIAN_MR,2024-10-15 02:25:00+00:00,2024-10-15 02:40:00+00:00,SHORT,1.07,2651.675,2649.3826500000005,213.18,1.9923499999997147,TP_Z_NEUTRAL,15.0,215.07,-49.22
ASIAN_MR,2024-10-16 01:15:00+00:00,2024-10-16 01:40:00+00:00,SHORT,1.12,2663.455,2665.4395596801096,-255.87,-2.284559680109669,SL_ATR,25.0,274.4,-250.88
NY_ORB,2024-10-16 13:50:00+00:00,2024-10-16 14:45:00+00:00,SELL,0.22,2680.325,2670.379,218.82,9.946,TP,55.0,229.49,-22.44
ASIAN_MR,2024-10-18 01:10:00+00:00,2024-10-18 01:20:00+00:00,SHORT,1.28,2697.184,2698.9356386737404,-262.61,-2.051638673740217,SL_ATR,10.0,156.16,-261.25
ASIAN_MR,2024-10-21 01:15:00+00:00,2024-10-21 01:55:00+00:00,SHORT,0.42,2727.575,2723.69905,150.19,3.575949999999648,TP_Z_NEUTRAL,40.0,90.3,-63.0
