strategy,entry_datetime,exit_datetime,direction,lot_size,entry_price,exit_price,pnl_usd,pnl_points,exit_reason,duration_min,mfe_usd,mae_usd
LONDON_ORB,2021-09-08 11:03:00+00:00,2021-09-08 11:29:00+00:00,BUY,1.25,1799.087,1799.187,-25.0,-0.2,TIME,135.0,95.12,-57.38
NY_ORB,2021-09-08 13:46:00+00:00,2021-09-08 16:29:00+00:00,SELL,0.35,1791.122,1791.958,-39.75,-1.136,TIME,820.0,310.37,-136.57
LONDON_ORB,2021-09-09 11:05:00+00:00,2021-09-09 11:23:00+00:00,BUY,1.04,1793.938,1797.7600000000002,366.28,3.522,TP,95.0,410.38,0.0
LONDON_ORB,2021-09-10 09:55:00+00:00,2021-09-10 10:05:00+00:00,SELL,0.85,1799.838,1795.026,383.53,4.512,TP,55.0,451.35,0.0
ASIAN_MR,2021-09-13 01:50:00+00:00,2021-09-13 02:40:00+00:00,SHORT,0.75,1789.318,1787.17065,138.55,1.8473499999999603,TP_Z_NEUTRAL,50.0,123.0,-70.5
LONDON_ORB,2021-09-13 09:30:00+00:00,2021-09-13 11:29:00+00:00,SELL,1.65,1789.098,1788.847,-8.09,-0.049,TIME,600.0,244.2,-194.54
NY_ORB,2021-09-13 13:56:00+00:00,2021-09-13 14:11:00+00:00,BUY,0.87,1792.538,1797.466,402.65,4.628,TP,80.0,498.16,-88.74
NY_ORB,2021-09-14 14:37:00+00:00,2021-09-14 16:29:00+00:00,BUY,0.22,1800.454,1803.648,63.66,2.894,TIME,565.0,178.28,-21.78
LONDON_ORB,2021-09-15 09:15:00+00:00,2021-09-15 11:00:00+00:00,SELL,1.81,1801.385,1802.628,-279.28,-1.543,SL,530.0,290.87,-239.46
LONDON_ORB,2021-09-16 09:30:00+00:00,2021-09-16 09:30:00+00:00,SELL,1.84,1785.258,1782.86,386.04,2.098,TP,5.0,686.32,0.0
NY_ORB,2021-09-16 13:46:00+00:00,2021-09-16 15:09:00+00:00,SELL,0.37,1751.528,1757.624,-236.66,-6.396,SL,420.0,233.47,-240.13
ASIAN_MR,2021-09-17 01:05:00+00:00,2021-09-17 01:40:00+00:00,SHORT,1.03,1757.008,1754.8506000000002,191.31,1.857399999999825,TP_Z_NEUTRAL,35.0,131.84,-96.82
LONDON_ORB,2021-09-17 08:35:00+00:00,2021-09-17 08:38:00+00:00,BUY,1.81,1762.324,1764.8160000000003,396.76,2.192,TP,20.0,480.39,-38.01
NY_ORB,2021-09-17 13:49:00+00:00,2021-09-17 13:50:00+00:00,BUY,0.44,1754.157,1748.757,-250.8,-5.7,SL,10.0,18.1,-250.36
LONDON_ORB,2021-09-20 10:55:00+00:00,2021-09-20 10:55:00+00:00,BUY,1.35,1754.734,1758.174,423.9,3.14,TP,5.0,545.8,0.0
NY_ORB,2021-09-20 14:20:00+00:00,2021-09-20 14:41:00+00:00,BUY,0.6,1758.427,1766.4929999999997,465.96,7.766,TP,110.0,486.0,0.0
ASIAN_MR,2021-09-21 02:05:00+00:00,2021-09-21 02:15:00+00:00,SHORT,1.11,1765.628,1763.9001,158.5,1.4278999999998632,TP_Z_NEUTRAL,10.0,123.21,-16.65
LONDON_ORB,2021-09-22 10:42:00+00:00,2021-09-22 11:29:00+00:00,SELL,0.78,1774.704,1773.348,82.37,1.056,TIME,240.0,180.65,-48.61
LONDON_ORB,2021-09-23 09:15:00+00:00,2021-09-23 09:16:00+00:00,BUY,1.39,1767.307,1770.907,458.7,3.3,TP,10.0,631.06,0.0
LONDON_ORB,2021-09-24 11:00:00+00:00,2021-09-24 11:16:00+00:00,BUY,1.01,1755.837,1753.248,-291.79,-2.889,SL,85.0,173.72,-330.17
NY_ORB,2021-09-24 14:01:00+00:00,2021-09-24 15:03:00+00:00,BUY,0.64,1744.838,1752.986,502.27,7.848,TP,315.0,575.3,-92.42
ASIAN_MR,2021-09-27 01:25:00+00:00,2021-09-27 01:50:00+00:00,SHORT,0.83,1757.578,1759.1656964978774,-156.68,-1.8876964978774595,SL_ATR,25.0,0.0,-156.87
LONDON_ORB,2021-09-27 10:05:00+00:00,2021-09-27 10:05:00+00:00,SELL,1.64,1753.448,1750.2480000000003,475.6,2.9,TP,5.0,1016.8,0.0
NY_ORB,2021-09-27 13:45:00+00:00,2021-09-27 14:50:00+00:00,BUY,0.85,1753.014,1749.828,-296.31,-3.486,SL,330.0,409.19,-309.91
LONDON_ORB,2021-09-28 09:31:00+00:00,2021-09-28 11:03:00+00:00,SELL,0.63,1740.388,1732.116,502.24,7.972,TP,465.0,535.5,-41.94
ASIAN_MR,2021-09-29 01:50:00+00:00,2021-09-29 02:20:00+00:00,SHORT,1.07,1736.675,1737.9625117162707,-169.86,-1.5875117162707284,SL_ATR,30.0,75.97,-169.38
LONDON_ORB,2021-09-29 10:15:00+00:00,2021-09-29 11:29:00+00:00,BUY,1.06,1741.058,1741.255,-10.91,-0.103,TIME,375.0,462.16,-16.96
NY_ORB,2021-09-29 14:10:00+00:00,2021-09-29 14:20:00+00:00,SELL,0.58,1735.665,1726.359,522.34,9.006,TP,55.0,557.38,0.0
ASIAN_MR,2021-09-30 03:25:00+00:00,2021-09-30 03:45:00+00:00,SHORT,1.24,1734.508,1732.691,188.11,1.5170000000000072,TP_Z_NEUTRAL,20.0,150.04,0.0
LONDON_ORB,2021-09-30 09:20:00+00:00,2021-09-30 10:29:00+00:00,SELL,1.11,1731.398,1726.2579999999996,537.24,4.84,TP,350.0,587.19,-36.63
NY_ORB,2021-09-30 14:25:00+00:00,2021-09-30 14:27:00+00:00,BUY,0.63,1742.728,1751.9480000000003,561.96,8.92,TP,15.0,617.29,0.0
NY_ORB,2021-10-01 13:50:00+00:00,2021-10-01 14:00:00+00:00,BUY,0.69,1759.028,1754.488,-333.96,-4.84,SL,55.0,52.25,-372.79
LONDON_ORB,2021-10-04 10:25:00+00:00,2021-10-04 10:47:00+00:00,SELL,1.32,1753.055,1748.4490000000003,568.39,4.306,TP,115.0,609.84,0.0
NY_ORB,2021-10-04 13:45:00+00:00,2021-10-04 14:23:00+00:00,BUY,0.82,1752.208,1759.9140000000002,607.31,7.406,TP,195.0,725.47,-314.06
ASIAN_MR,2021-10-05 01:40:00+00:00,2021-10-05 02:35:00+00:00,LONG,1.4,1763.845,1762.6901720269113,-203.68,-1.4548279730886862,SL_ATR,55.0,168.42,-164.78
LONDON_ORB,2021-10-05 10:50:00+00:00,2021-10-05 10:52:00+00:00,SELL,2.41,1758.708,1756.0280000000002,573.58,2.38,TP,15.0,739.87,0.0
LONDON_ORB,2021-10-06 11:00:00+00:00,2021-10-06 11:23:00+00:00,BUY,1.04,1749.128,1755.588,640.64,6.16,TP,120.0,734.24,0.0
ASIAN_MR,2021-10-08 01:05:00+00:00,2021-10-08 01:15:00+00:00,SHORT,1.38,1756.215,1757.4566713397437,-212.75,-1.541671339743789,SL_ATR,10.0,102.12,-186.71
LONDON_ORB,2021-10-08 09:02:00+00:00,2021-10-08 09:40:00+00:00,BUY,2.9,1756.328,1758.694,599.15,2.066,TP,195.0,713.4,-69.6
ASIAN_MR,2021-10-11 01:45:00+00:00,2021-10-11 02:05:00+00:00,SHORT,1.19,1760.488,1757.8686999999998,276.0,2.319300000000294,TP_Z_NEUTRAL,20.0,208.61,-28.56
LONDON_ORB,2021-10-11 11:00:00+00:00,2021-10-11 11:00:00+00:00,SELL,3.01,1755.888,1753.4979999999996,629.09,2.09,TP,5.0,875.91,0.0
LONDON_ORB,2021-10-12 10:30:00+00:00,2021-10-12 10:39:00+00:00,BUY,2.32,1758.168,1761.3879999999997,677.44,2.92,TP,50.0,786.48,0.0
NY_ORB,2021-10-12 13:47:00+00:00,2021-10-12 16:29:00+00:00,BUY,0.92,1761.278,1760.768,-74.52,-0.81,TIME,815.0,732.32,-130.64
LONDON_ORB,2021-10-13 10:05:00+00:00,2021-10-13 11:29:00+00:00,BUY,1.34,1767.808,1771.768,490.44,3.66,TIME,425.0,743.7,0.0
ASIAN_MR,2021-10-14 01:55:00+00:00,2021-10-14 02:30:00+00:00,LONG,1.75,1789.404,1788.2843596255977,-248.44,-1.4196403744022519,SL_ATR,35.0,105.0,-209.3
LONDON_ORB,2021-10-14 10:00:00+00:00,2021-10-14 11:04:00+00:00,BUY,1.8,1795.828,1800.156,725.06,4.028,TP,325.0,784.8,0.0
NY_ORB,2021-10-14 14:25:00+00:00,2021-10-14 16:29:00+00:00,BUY,0.76,1799.048,1796.798,-193.8,-2.55,TIME,625.0,17.18,-341.24
LONDON_ORB,2021-10-15 09:05:00+00:00,2021-10-15 09:38:00+00:00,SELL,1.45,1786.608,1781.128,751.1,5.18,TP,170.0,798.1,-8.7
LONDON_ORB,2021-10-18 08:24:00+00:00,2021-10-18 11:29:00+00:00,SELL,1.5,1764.044,1763.398,51.88,0.346,TIME,930.0,579.0,-225.0
LONDON_ORB,2021-10-19 10:00:00+00:00,2021-10-19 10:04:00+00:00,SELL,2.6,1780.824,1777.6240000000003,754.0,2.9,TP,25.0,838.76,0.0
NY_ORB,2021-10-19 14:15:00+00:00,2021-10-19 16:24:00+00:00,SELL,0.91,1776.364,1767.216,805.19,8.848,TP,650.0,845.39,-110.48
LONDON_ORB,2021-10-20 11:05:00+00:00,2021-10-20 11:05:00+00:00,BUY,3.63,1777.634,1780.094,784.08,2.16,TP,5.0,1107.15,0.0
NY_ORB,2021-10-20 14:28:00+00:00,2021-10-20 16:29:00+00:00,BUY,0.69,1781.578,1784.928,210.45,3.05,TIME,610.0,262.6,-64.86
ASIAN_MR,2021-10-21 02:00:00+00:00,2021-10-21 02:05:00+00:00,SHORT,1.66,1786.658,1788.0535014228512,-281.45,-1.6955014228513392,SL_ATR,5.0,28.22,-283.86
LONDON_ORB,2021-10-21 10:20:00+00:00,2021-10-21 10:20:00+00:00,BUY,3.28,1783.188,1785.996,822.65,2.508,TP,5.0,1415.64,0.0
ASIAN_MR,2021-10-22 01:10:00+00:00,2021-10-22 01:20:00+00:00,SHORT,2.03,1786.348,1785.12595,187.18,0.9220499999998537,TP_Z_NEUTRAL,10.0,245.63,-20.3
LONDON_ORB,2021-10-22 11:21:00+00:00,2021-10-22 11:29:00+00:00,BUY,2.4,1794.618,1794.098,-196.8,-0.82,TIME,45.0,86.4,-197.76
NY_ORB,2021-10-22 15:10:00+00:00,2021-10-22 15:16:00+00:00,BUY,1.49,1807.328,1804.068,-530.44,-3.56,SL,35.0,503.02,-602.56
ASIAN_MR,2021-10-25 03:15:00+00:00,2021-10-25 03:35:00+00:00,SHORT,1.6,1796.584,1798.0442127696983,-281.63,-1.7602127696982734,SL_ATR,20.0,32.0,-288.64
LONDON_ORB,2021-10-25 08:45:00+00:00,2021-10-25 09:37:00+00:00,BUY,2.02,1800.794,1798.504,-523.18,-2.59,SL,265.0,560.35,-464.6
NY_ORB,2021-10-25 13:50:00+00:00,2021-10-25 16:29:00+00:00,BUY,1.18,1806.454,1807.128,44.11,0.374,TIME,800.0,415.36,-165.2
LONDON_ORB,2021-10-27 08:30:00+00:00,2021-10-27 09:19:00+00:00,SELL,2.2,1786.118,1788.148,-512.6,-2.33,SL,250.0,603.7,-494.1
NY_ORB,2021-10-27 14:01:00+00:00,2021-10-27 16:29:00+00:00,SELL,0.77,1792.478,1795.478,-254.1,-3.3,TIME,745.0,601.37,-308.0
ASIAN_MR,2021-10-28 01:50:00+00:00,2021-10-28 02:10:00+00:00,SHORT,0.71,1798.024,1799.5555271585358,-130.04,-1.831527158535937,SL_ATR,20.0,88.47,-118.57
LONDON_ORB,2021-10-28 09:10:00+00:00,2021-10-28 09:46:00+00:00,SELL,1.22,1801.188,1797.6680000000001,392.84,3.22,TP,185.0,431.88,0.0
LONDON_ORB,2021-10-29 08:25:00+00:00,2021-10-29 09:32:00+00:00,SELL,2.37,1794.394,1796.244,-509.55,-2.15,SL,340.0,852.26,-474.94
NY_ORB,2021-10-29 14:05:00+00:00,2021-10-29 14:09:00+00:00,SELL,0.92,1774.924,1779.498,-448.42,-4.874,SL,25.0,48.76,-648.06
ASIAN_MR,2021-11-01 01:45:00+00:00,2021-11-01 02:00:00+00:00,SHORT,1.4,1783.438,1784.9481081233757,-253.42,-1.8101081233756304,SL_ATR,15.0,45.36,-318.64
LONDON_ORB,2021-11-01 08:25:00+00:00,2021-11-01 08:42:00+00:00,SELL,1.82,1781.348,1783.628,-469.56,-2.58,SL,90.0,84.45,-424.06
ASIAN_MR,2021-11-02 01:15:00+00:00,2021-11-02 01:25:00+00:00,LONG,0.96,1789.878,1791.3944,116.77,1.216399999999976,TP_Z_NEUTRAL,10.0,117.12,-52.8
NY_ORB,2021-11-02 14:07:00+00:00,2021-11-02 16:29:00+00:00,SELL,0.92,1788.908,1787.818,72.68,0.79,TIME,715.0,241.96,-390.08
LONDON_ORB,2021-11-03 10:12:00+00:00,2021-11-03 10:38:00+00:00,SELL,2.98,1780.918,1782.308,-503.62,-1.69,SL,135.0,154.96,-490.52
NY_ORB,2021-11-03 14:45:00+00:00,2021-11-03 16:29:00+00:00,SELL,0.9,1766.514,1762.788,308.35,3.426,TIME,525.0,708.3,0.0
LONDON_ORB,2021-11-04 08:21:00+00:00,2021-11-04 11:08:00+00:00,BUY,1.58,1774.724,1779.8439999999998,761.56,4.82,TP,840.0,837.4,-165.9
ASIAN_MR,2021-11-05 01:15:00+00:00,2021-11-05 02:00:00+00:00,SHORT,1.51,1794.364,1795.7617593720374,-256.36,-1.697759372037399,SL_ATR,45.0,170.63,-226.5
LONDON_ORB,2021-11-05 08:16:00+00:00,2021-11-05 09:21:00+00:00,BUY,1.83,1797.058,1794.794,-469.21,-2.564,SL,330.0,542.78,-455.67
NY_ORB,2021-11-05 15:45:00+00:00,2021-11-05 16:18:00+00:00,BUY,0.82,1802.004,1811.984,793.76,9.68,TP,170.0,820.82,0.0
ASIAN_MR,2021-11-08 01:10:00+00:00,2021-11-08 01:15:00+00:00,SHORT,1.09,1818.973,1820.9052050493917,-243.31,-2.2322050493917684,SL_ATR,5.0,5.45,-220.18
LONDON_ORB,2021-11-08 10:02:00+00:00,2021-11-08 11:24:00+00:00,BUY,1.73,1818.033,1815.618,-469.67,-2.715,SL,415.0,45.87,-419.5
NY_ORB,2021-11-08 14:01:00+00:00,2021-11-08 16:29:00+00:00,BUY,0.67,1823.813,1823.223,-59.63,-0.89,TIME,745.0,150.39,-297.84
ASIAN_MR,2021-11-09 01:25:00+00:00,2021-11-09 01:35:00+00:00,SHORT,1.89,1825.863,1824.4346,213.27,1.1284000000000105,TP_Z_NEUTRAL,10.0,352.49,-28.35
LONDON_ORB,2021-11-10 09:30:00+00:00,2021-11-10 11:23:00+00:00,BUY,1.39,1825.938,1822.963,-455.25,-3.275,SL,570.0,110.48,-417.0
NY_ORB,2021-11-10 14:01:00+00:00,2021-11-10 16:29:00+00:00,BUY,0.15,1851.668,1857.708,86.1,5.74,TIME,745.0,251.85,-19.2
ASIAN_MR,2021-11-11 01:40:00+00:00,2021-11-11 01:55:00+00:00,LONG,1.14,1847.114,1845.3514318143652,-235.13,-2.062568185634791,SL_ATR,15.0,5.7,-233.7
